symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,val_accuracy,val_test_gap,win_count,win_rate,window_index
BAJAJFINSV.NS,0.424,0,,0,"{'low': {'count': 19, 'correct': 8}, 'medium': {'count': 45, 'correct': 21}, 'high': {'count': 61, 'correct': 24}}",0.40092346616065777,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.4588184747583244,0.0,"{0: 76, 1: 49}",0,0.424,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.9019607843137255,0.4779607843137255,0.6829268292682927,0.25892682926829275,,0,1
BAJAJHLDNG.NS,0.416,1486.7054938151061,0.07680815942542953,0.08725796304428735,"{'low': {'count': 27, 'correct': 8}, 'medium': {'count': 54, 'correct': 20}, 'high': {'count': 44, 'correct': 24}}",0.45101629612846583,0,4460.116481445319,0,0.0011452716311841505,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5840259433962265,0.625,"{0: 64, 1: 53, 2: 8}",inf,0.416,0.5272389079067934,3,"{'expectancy': np.float64(1486.7054938151061), 'avg_win': np.float64(1486.7054938151061), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.9031862745098039,0.48718627450980395,0.7073170731707317,0.2913170731707317,3,1.0,1
BAJFINANCE.NS,0.48,289.7411137898781,0.009811173635092341,0.011810225978084343,"{'low': {'count': 46, 'correct': 20}, 'medium': {'count': 43, 'correct': 21}, 'high': {'count': 36, 'correct': 19}}",0.5093106447343543,0,869.2233413696343,0,0.007537192202457373,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.6631428571428571,0.25,"{0: 56, 1: 41, 2: 28}",inf,0.48,-1.9867577515451067,3,"{'expectancy': np.float64(289.7411137898781), 'avg_win': np.float64(289.7411137898781), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.8970588235294118,0.4170588235294118,0.6504065040650406,0.17040650406504065,3,1.0,1
BANKBARODA.NS,0.224,0,,0,"{'low': {'count': 34, 'correct': 13}, 'medium': {'count': 39, 'correct': 6}, 'high': {'count': 52, 'correct': 9}}",0.2142512185976753,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.8960714285714285,1.0,"{0: 112, 1: 9, 2: 4}",0,0.224,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.8688725490196079,0.6448725490196079,0.5447154471544715,0.32071544715447153,,0,1
BEL.NS,0.416,0,,0,"{'low': {'count': 48, 'correct': 22}, 'medium': {'count': 45, 'correct': 19}, 'high': {'count': 32, 'correct': 11}}",0.469323742529222,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.5806545454545454,0.4,"{0: 55, 1: 55, 2: 15}",0,0.416,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",0.875,0.459,0.5853658536585366,0.16936585365853657,,0,1
BHARTIARTL.NS,0.256,-1623.578585693358,-0.05072275836933094,-0.034519061268716955,"{'low': {'count': 28, 'correct': 8}, 'medium': {'count': 52, 'correct': 15}, 'high': {'count': 45, 'correct': 9}}",0.25747755102040815,1623.578585693358,0,1,0.017352037641315255,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.4090039215686275,0.17647058823529413,"{0: 78, 1: 30, 2: 17}",0.0,0.256,-4.050527828999004,1,"{'expectancy': np.float64(-1623.578585693358), 'avg_win': 0, 'avg_loss': np.float64(1623.578585693358), 'win_rate': 0.0, 'total_trades': 1}",0.8823529411764706,0.6263529411764706,0.6341463414634146,0.37814634146341464,0,0.0,1
BOSCHLTD.NS,0.336,612.0627500000019,0.038771998742698655,0.023348362173646997,"{'low': {'count': 22, 'correct': 11}, 'medium': {'count': 61, 'correct': 18}, 'high': {'count': 42, 'correct': 13}}",0.37753535353535356,0,1224.1255000000037,0,0.0060729948000075185,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.5501136296732411,0.0,"{0: 79, 1: 43, 2: 3}",inf,0.336,-1.777087749695409,2,"{'expectancy': np.float64(612.0627500000019), 'avg_win': np.float64(612.0627500000019), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 2}",0.8492647058823529,0.513264705882353,0.5772357723577236,0.2412357723577236,2,1.0,1
BPCL.NS,0.312,709.1867577667283,0.034766052883337964,0.02705064978020011,"{'low': {'count': 80, 'correct': 26}, 'medium': {'count': 38, 'correct': 11}, 'high': {'count': 7, 'correct': 2}}",0.29641834692935204,0,1418.3735155334566,0,0.0043263632615959825,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.4093900529100529,0.22,"{0: 54, 1: 21, 2: 50}",inf,0.312,-1.5147521853716022,2,"{'expectancy': np.float64(709.1867577667283), 'avg_win': np.float64(709.1867577667283), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 2}",0.8946078431372549,0.582607843137255,0.5934959349593496,0.2814959349593496,2,1.0,1
BRITANNIA.NS,0.4146341463414634,1000.2753061523454,0.04554668286726803,0.018612704983069328,"{'low': {'count': 43, 'correct': 23}, 'medium': {'count': 35, 'correct': 16}, 'high': {'count': 45, 'correct': 12}}",0.43647771076666636,0,1000.2753061523454,0,0.0006037229591235519,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.6689962476547843,0.0,"{0: 80, 1: 39, 2: 4}",inf,0.4146341463414634,-2.886162788055459,1,"{'expectancy': np.float64(1000.2753061523454), 'avg_win': np.float64(1000.2753061523454), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.8809815950920246,0.46634744875056117,0.6666666666666666,0.25203252032520324,1,1.0,1
CANBK.NS,0.32,2351.5139312744145,0.12708491690243057,0.047477380016463844,"{'low': {'count': 43, 'correct': 16}, 'medium': {'count': 64, 'correct': 21}, 'high': {'count': 18, 'correct': 3}}",0.34456831245394254,0,2351.5139312744145,0,0.0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.6534025974025974,1.0,"{0: 77, 1: 44, 2: 4}",inf,0.32,-0.5557252892147221,1,"{'expectancy': np.float64(2351.5139312744145), 'avg_win': np.float64(2351.5139312744145), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",0.8909313725490197,0.5709313725490197,0.6341463414634146,0.31414634146341464,1,1.0,1
