symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,win_count,win_rate,window_index
SUNPHARMA.NS,0.4878048780487805,0,,0,"{'low': {'count': 7, 'correct': 4}, 'medium': {'count': 37, 'correct': 15}, 'high': {'count': 79, 'correct': 41}}",0.48387974037933834,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.6569849620064827,1.0,"{0: 36, 1: 85, 2: 2}",0,0.48780487804878053,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.5121951219512195,,0,3
MARUTI.NS,0.6016260162601627,-790.1014218749988,-0.02707737016887449,-0.018117472260285705,"{'low': {'count': 25, 'correct': 13}, 'medium': {'count': 40, 'correct': 19}, 'high': {'count': 58, 'correct': 42}}",0.6002996787724194,790.1014218749988,0,1,0.008920317973945349,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5991149531748483,0.4,"{0: 29, 1: 79, 2: 15}",0.0,0.6016260162601627,-9.795387244259032,1,"{'expectancy': np.float64(-790.1014218749988), 'avg_win': 0, 'avg_loss': np.float64(790.1014218749988), 'win_rate': 0.0, 'total_trades': 1}",1.0,0.39837398373983735,0,0.0,3
AXISBANK.NS,0.5934959349593496,1964.6775122070358,0.05258868289715702,0.037768096227627446,"{'low': {'count': 10, 'correct': 4}, 'medium': {'count': 36, 'correct': 20}, 'high': {'count': 77, 'correct': 49}}",0.5202739417053691,0,1964.6775122070358,0,0.0010270081215637038,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.6150911242089724,1.0,"{0: 14, 1: 107, 2: 2}",inf,0.5934959349593496,-1.527755475940943,1,"{'expectancy': np.float64(1964.6775122070358), 'avg_win': np.float64(1964.6775122070358), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.4065040650406504,1,1.0,3
ITC.NS,0.6260162601626016,-823.9782222798631,-0.028949741042741995,-0.05569762815770529,"{'low': {'count': 30, 'correct': 10}, 'medium': {'count': 25, 'correct': 14}, 'high': {'count': 68, 'correct': 53}}",0.5915651967579583,2471.934666839589,0,3,0.029148674280052682,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5727371273712738,0.0,"{0: 12, 1: 100, 2: 11}",0.0,0.6260162601626016,-3.243655497547525,3,"{'expectancy': np.float64(-823.9782222798631), 'avg_win': 0, 'avg_loss': np.float64(823.9782222798631), 'win_rate': 0.0, 'total_trades': 3}",1.0,0.3739837398373984,0,0.0,3
ADANIPORTS.NS,0.35772357723577236,598.3421865234413,0.016935957319143335,0.009706881671039058,"{'low': {'count': 14, 'correct': 5}, 'medium': {'count': 43, 'correct': 23}, 'high': {'count': 66, 'correct': 16}}",0.34848758588595985,0,598.3421865234413,0,0.0009712136358764837,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5661942430235114,0.5,"{0: 84, 1: 37, 2: 2}",inf,0.35772357723577236,-6.0082627739909436,1,"{'expectancy': np.float64(598.3421865234413), 'avg_win': np.float64(598.3421865234413), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.6422764227642277,1,1.0,3
TITAN.NS,0.5040650406504065,540.7703341471384,0.020726499092939072,0.028144182186684352,"{'low': {'count': 24, 'correct': 12}, 'medium': {'count': 28, 'correct': 10}, 'high': {'count': 71, 'correct': 40}}",0.448206599713056,0,1622.3110024414154,0,0.005037213331168012,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.44331342293014764,0.15,"{0: 5, 1: 98, 2: 20}",inf,0.5040650406504065,-1.2791005425925916,3,"{'expectancy': np.float64(540.7703341471384), 'avg_win': np.float64(540.7703341471384), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",1.0,0.49593495934959353,3,1.0,3
NTPC.NS,0.3252032520325203,-83.28219964599361,-0.003290813371079616,-0.0035032157650692897,"{'low': {'count': 16, 'correct': 8}, 'medium': {'count': 49, 'correct': 15}, 'high': {'count': 58, 'correct': 17}}",0.3090808874190437,83.28219964599361,0,1,0.006610844209176845,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.30579060892649745,0.0,"{0: 49, 1: 71, 2: 3}",0.0,0.3252032520325203,-6.020269352404842,1,"{'expectancy': np.float64(-83.28219964599361), 'avg_win': 0, 'avg_loss': np.float64(83.28219964599361), 'win_rate': 0.0, 'total_trades': 1}",1.0,0.6747967479674797,0,0.0,3
KOTAKBANK.NS,0.5040650406504065,0,,0,"{'low': {'count': 3, 'correct': 2}, 'medium': {'count': 31, 'correct': 15}, 'high': {'count': 89, 'correct': 45}}",0.48449262270400484,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.47103658536585363,0.0,"{0: 48, 1: 75}",0,0.5040650406504065,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.49593495934959353,,0,3
ONGC.NS,0.4715447154471545,0,,0,"{'low': {'count': 5, 'correct': 3}, 'medium': {'count': 39, 'correct': 16}, 'high': {'count': 79, 'correct': 39}}",0.4301552106430155,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.40140415140415137,0.0,"{0: 39, 1: 84}",0,0.4715447154471545,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.5284552845528455,,0,3
ULTRACEMCO.NS,0.45528455284552843,-592.7519287109347,-0.02265685140721699,-0.041227753407933165,"{'low': {'count': 14, 'correct': 3}, 'medium': {'count': 29, 'correct': 15}, 'high': {'count': 80, 'correct': 38}}",0.4507803460280057,1778.2557861328041,0,3,0.020421609890197725,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.4800549044451483,0.2,"{0: 6, 1: 77, 2: 40}",0.0,0.45528455284552843,-5.60278516950954,3,"{'expectancy': np.float64(-592.7519287109347), 'avg_win': 0, 'avg_loss': np.float64(592.7519287109347), 'win_rate': 0.0, 'total_trades': 3}",1.0,0.5447154471544715,0,0.0,3
